Values,KOR
Stranger,친분이 없는 사람
Neighbor,이웃
Friend,친구
Family,가족/친척
One's own home,본인의 집
Another person's home,다른 사람의 집
"Outside (park, street, etc.)","야외 (공원, 길가 등)"
Market,장마당
North Korean phone/tablet,북한 손전화기/태블릿
CD/DVD,CD/DVD (시디/디브이디)
USB,USB (유에스비)
Foreign device (phone etc.),외국 휴대용 전자기기 (손전화기 등)
Not country-related,특정 나라와 관련없음
International content,남북한 외의 다른 나라관련
South Korean content,남한관련
North Korean content,북한관련
Text,글
Recorded file (audiobook etc.),녹음파일 (오디오북 등)
Video,영상물
Computer program or app,컴퓨터프로그램 혹은 앱
Youth,청소년기
19-29,청년기 (19-29세)
30-49,중년기 (30-49세)
50+,장년기/노년기 (50세 이상)
Fiction,허구
Non-fiction,실화